country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,,,,,,,,,,,0.0873,0.154,,,,,,,
Algeria,,,,,,0.23,0.367,0.196,0.164,0.0661,,,,,,,,,,
Argentina,0.418,0.419,0.411,0.453,0.439,0.424,0.388,0.41,0.404,0.419,0.45,0.458,0.47,0.586,0.561,0.566,0.636,0.62,0.589,
Armenia,,0.187,0.226,0.214,0.191,0.279,0.253,0.322,0.256,0.258,0.24,0.211,0.224,0.291,0.241,0.27,0.238,0.222,0.241,0.251
Australia,1.66,,1.51,,1.58,,1.75,,1.85,,2.18,,2.4,,2.38,2.25,,2.2,,
Austria,1.59,1.66,1.73,1.85,1.89,2,2.07,2.18,2.17,2.38,2.38,2.44,2.58,2.62,2.73,2.68,2.93,2.96,3.06,3.07
Azerbaijan,0.235,0.369,0.421,0.393,0.336,0.34,0.302,0.325,0.298,0.22,0.172,0.17,0.166,0.25,0.218,0.211,0.217,0.211,0.21,0.222
Bahrain,,,,,,,,,,,,,,,,,,,0.101,
Belarus,0.998,0.73,0.706,0.844,0.722,0.708,0.622,0.611,0.627,0.678,0.66,0.962,0.74,0.645,0.696,0.701,0.667,0.674,0.524,0.517
Belgium,1.73,1.79,1.83,1.89,1.92,2.02,1.89,1.83,1.81,1.79,1.81,1.84,1.92,1.98,2.05,2.16,2.36,2.44,2.46,2.46
Bolivia,0.325,0.316,0.295,0.298,0.287,0.294,0.277,,,,,,,0.157,,,,,,
Bosnia and Herzegovina,,,,,,,,0.0185,0.0161,0.027,0.0197,0.0252,0.0184,0.0211,,,0.266,0.322,0.258,0.219
Botswana,,,,,,,,,,0.533,,,,,,,0.254,0.542,,
Brazil,,,,,1,1.03,0.977,0.998,0.962,1,0.988,1.08,1.13,1.12,1.16,1.14,1.13,1.2,1.17,
Brunei,,,,,,,0.0159,0.0184,0.037,,,,,,,,,,,
Bulgaria,0.509,0.47,0.495,0.542,0.499,0.449,0.466,0.474,0.472,0.443,0.443,0.427,0.446,0.496,0.564,0.532,0.605,0.635,0.795,0.957
Burkina Faso,0.159,0.181,,,,0.191,0.339,0.272,0.242,0.171,,0.111,0.187,0.2,,,,,,
Burundi,,,,,,,,,,,,0.2,0.154,0.144,0.138,0.121,,,,
Cambodia,,,,,,,0.0497,,,,,,,,,,,,,0.118
Canada,1.61,1.62,1.72,1.76,1.87,2.03,1.98,1.98,2.01,1.97,1.95,1.91,1.86,1.92,1.84,1.8,1.8,1.69,1.62,
Cape Verde,,,,,,,,,,,,,,,,0.0726,,,,
Chile,,,,,,,,,,,,0.311,0.375,0.353,0.331,0.354,0.365,0.391,0.377,0.384
China,0.563,0.639,0.647,0.749,0.896,0.939,1.06,1.12,1.21,1.31,1.37,1.37,1.44,1.66,1.71,1.78,1.91,1.99,2.02,2.07
Colombia,0.298,0.273,,,0.13,0.132,0.14,0.156,0.153,0.15,0.149,0.177,0.193,0.19,0.189,0.203,0.219,0.273,0.251,0.242
"Congo, Dem. Rep.",,,,,,,,,0.268,0.058,0.0611,0.139,0.0854,0.0798,,,,,,
Costa Rica,0.304,0.297,0.267,0.369,0.413,,,0.363,0.375,,0.427,0.359,0.389,0.521,0.485,0.467,0.555,0.557,0.577,
Croatia,,,,0.842,1.05,0.918,0.946,0.952,1.03,0.856,0.741,0.793,0.883,0.844,0.745,0.751,0.752,0.815,0.791,0.854
Cuba,0.347,0.402,0.501,0.458,0.479,0.565,0.564,0.582,0.602,0.549,0.441,0.436,0.501,0.615,0.608,0.272,0.407,0.475,0.416,0.429
Cyprus,,,0.201,0.216,0.223,0.233,0.275,0.318,0.334,0.362,0.377,0.398,0.386,0.444,0.447,0.45,0.428,0.463,0.479,0.456
Czech Republic,0.899,0.999,1.07,1.06,1.12,1.11,1.11,1.15,1.15,1.17,1.23,1.31,1.24,1.3,1.34,1.56,1.78,1.9,1.97,1.95
Denmark,1.8,1.88,2,2.13,,2.33,2.44,2.51,2.41,2.39,2.41,2.51,2.78,3.08,2.93,2.97,3.01,3.02,2.98,3.01
Ecuador,0.0741,0.0626,0.0652,,,0.0515,0.0553,0.0573,,,0.129,0.132,0.228,0.395,0.403,0.34,0.332,0.38,0.441,
Egypt,0.213,0.197,0.199,0.186,0.193,,,,0.27,0.241,0.259,0.255,0.27,0.434,0.432,0.532,0.513,0.646,0.646,0.723
El Salvador,,,0.0803,,,,,,,,,0.0893,0.112,0.0774,0.0672,0.0311,0.0305,0.0577,0.0846,0.13
Estonia,,,0.571,0.681,0.6,0.699,0.716,0.768,0.852,0.924,1.12,1.07,1.26,1.4,1.58,2.31,2.12,1.73,1.45,1.5
Ethiopia,,,,,,,,,,0.18,,0.171,,,0.241,,,0.605,,
Finland,2.45,2.62,2.8,3.05,3.25,3.21,3.26,3.29,3.32,3.34,3.33,3.34,3.54,3.75,3.73,3.64,3.42,3.29,3.18,2.9
France,2.21,2.14,2.08,2.09,2.08,2.14,2.17,2.11,2.09,2.05,2.05,2.02,2.05,2.21,2.17,2.19,2.23,2.23,2.24,2.23
Gabon,,,,,,,,,,,,0.416,0.511,0.579,,,,,,
Gambia,,,,,,,,,,,,,0.0204,0.0175,,0.132,,,,
Georgia,0.331,0.342,0.354,0.288,0.215,0.238,0.186,0.218,0.244,0.177,,,,,,,,0.0837,0.185,0.32
Germany,2.13,2.18,2.21,2.34,2.39,2.39,2.41,2.46,2.42,2.42,2.46,2.45,2.6,2.73,2.71,2.8,2.87,2.82,2.89,2.88
Ghana,,,,,,,,,,,,0.232,,,0.377,,,,,
Greece,,0.428,,0.567,,0.56,,0.546,0.527,0.58,0.561,0.576,0.662,0.624,0.598,0.672,0.7,0.81,0.836,0.957
Guatemala,,,,,,,,,,0.035,0.0493,0.0667,0.0619,0.0553,0.0435,0.0481,0.0447,,,
Honduras,,,,,0.0444,0.0385,0.0419,0.0421,0.0414,,,,,,,,,,,
Hungary,0.632,0.701,0.66,0.674,0.792,0.913,0.985,0.92,0.864,0.923,0.983,0.96,0.983,1.14,1.14,1.19,1.27,1.4,1.36,1.38
Iceland,,1.79,1.96,2.25,2.6,2.88,2.87,2.74,,2.71,2.91,2.58,2.54,2.66,,2.5,,1.77,2.03,2.21
India,0.628,0.676,0.693,0.713,0.743,0.722,0.712,0.707,0.744,0.811,0.798,0.815,0.867,0.845,0.822,0.831,,,,0.627
Indonesia,,,,,0.0677,0.0475,,,,,,,,0.0833,,,,0.0847,,
Iran,,,,,,0.502,0.497,0.594,0.523,0.642,0.576,,0.672,0.284,0.277,,0.325,,,
Iraq,,,,,,,,,,,,0.0457,0.0344,0.0455,0.0369,0.0348,,,0.0383,0.0372
Ireland,1.27,1.24,1.21,1.15,1.09,1.05,1.06,1.12,1.18,1.19,1.2,1.23,1.39,1.61,1.6,1.54,1.55,1.56,1.51,
Israel,2.6,2.81,2.92,3.33,3.93,4.18,4.13,3.9,3.87,4.04,4.13,4.41,4.33,4.12,3.94,4.02,4.16,4.14,4.29,4.27
Italy,0.951,0.99,1,0.985,1,1.04,1.08,1.06,1.05,1.05,1.09,1.13,1.17,1.22,1.23,1.21,1.27,1.31,1.38,1.33
Jamaica,,,,,,0.0496,0.0609,,,,,,,,,,,,,
Japan,2.69,2.77,2.87,2.89,2.9,2.97,3.01,3.05,3.03,3.18,3.28,3.34,3.34,3.23,3.14,3.25,3.21,3.32,3.4,3.28
Jordan,,,,,,,0.337,,,,,,0.435,,,,,,,
